Product_ID,Product,Category,Quantity,Unit_Price,Discount_Percent,Customer_Rating,Region,Total_Sales
P001,Laptop,Computers,5,850,5.0,4.5,East,4037.5
P002,Smartphone,Mobile,12,650,10.0,4.2,West,7020.0
P003,Tablet,Mobile,8,400,8.0,4.0,North,2944.0
P004,Headphones,Accessories,20,80,15.0,,South,1360.0
P005,Monitor,Computers,7,300,5.0,4.3,East,1995.0
P006,Keyboard,Accessories,25,45,10.0,4.1,West,1012.5
P007,Mouse,Accessories,30,25,12.0,4.4,North,660.0
P008,Printer,Office,6,220,5.0,3.9,South,1254.0
P009,Webcam,Accessories,15,90,,4.5,East,
P010,Speaker,Audio,10,120,8.0,4.2,West,1104.0
P011,Laptop,Computers,14,700,12.0,4.3,North,8624.0
P012,Smartphone,Mobile,14,700,12.0,4.3,South,8624.0
P013,Tablet,Mobile,9,450,7.0,4.1,East,3766.4999999999995
P014,Monitor,Computers,11,350,6.0,4.4,West,3619.0
P015,Printer,Office,13,200,10.0,4.0,North,2340.0
P016,Keyboard,Accessories,22,50,8.0,,South,1012.0
P017,Mouse,Accessories,16,60,9.0,4.2,East,873.6
P018,Webcam,Accessories,12,95,11.0,4.5,West,1014.6
P019,Speaker,Audio,8,140,7.0,3.8,North,1041.6
P020,Laptop,Computers,18,500,5.0,4.6,South,8550.0
P021,Laptop,Computers,6,950,5.0,4.8,East,5415.0
P022,Smartphone,Mobile,16,720,10.0,4.5,West,10368.0
P023,Tablet,Mobile,10,450,7.0,4.1,North,4185.0
P024,Headphones,Accessories,21,90,20.0,4.7,South,1512.0
P025,Monitor,Computers,9,320,6.0,4.3,East,2707.2
P026,Printer,Office,15,250,5.0,4.0,West,3562.5
P027,Mouse,Accessories,40,30,18.0,4.5,North,984.0000000000001
P028,Webcam,Accessories,17,95,12.0,4.4,South,1421.2
P029,Speaker,Audio,12,150,8.0,4.2,East,1656.0
P030,Tablet,Mobile,10,450,7.0,4.6,West,4185.0
